structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,530,1087,1617,2.139424,1.953502,4.092926,247.7302302,556.4365944
Red nucleus,1013,104,1117,0.498704,0.473124,0.971828,2031.265039,219.815524
Pontine reticular nucleus,355,152,507,1.729903,1.778085,3.507988,205.2138183,85.48522708
Intermediate reticular nucleus,28,377,405,2.701309,2.633378,5.334687,10.3653451,143.1621286
"Medullary reticular nucleus, ventral part",29,369,398,0.886992,0.795451,1.682443,32.69477064,463.8877819
"Paraventricular hypothalamic nucleus, descending division",19,203,222,0.103418,0.092526,0.195944,183.7204355,2193.977909
"Pontine reticular nucleus, caudal part",150,49,199,2.069994,2.058876,4.12887,72.46397816,23.79939346
Pons,99,72,171,1.739048,1.740487,3.479535,56.92769837,41.36773213
crossed tectospinal pathway,77,90,167,0.304615,0.301162,0.605777,252.7780969,298.8424834
Paraventricular hypothalamic nucleus,14,141,155,0.163099,0.163123,0.326222,85.83743616,864.3784138
Midbrain reticular nucleus,121,28,149,3.297049,3.270256,6.567305,36.6994849,8.562020833
Pontine central gray,38,76,114,0.333516,0.324092,0.657608,113.9375622,234.5013144
Main olfactory bulb,0,83,83,5.954543,6.260351,12.214894,0,13.25804256
Hypothalamus,5,74,79,1.506033,1.43565,2.941683,3.319980372,51.54459652
Sublaterodorsal nucleus,55,22,77,0.029225,0.025446,0.054671,1881.950385,864.5759648
Nucleus raphe magnus,26,29,55,0.069012,0.068617,0.137629,376.7460731,422.63579
Lateral hypothalamic area,1,45,46,0.909382,0.882305,1.791687,1.099647893,51.00277115
Midbrain,30,15,45,3.415293,3.404688,6.819981,8.784019409,4.405690037
Thalamus,1,36,37,0.540769,0.553334,1.094103,1.849218428,65.06016258
Olfactory tubercle,24,7,31,1.953548,1.965214,3.918762,12.28533929,3.561953049
Ventral tegmental area,31,0,31,0.229679,0.208216,0.437895,134.9709812,0
Piriform area,12,16,28,6.402411,6.527298,12.929709,1.874293918,2.451243991
"Entorhinal area, lateral part, layer 1",0,28,28,0.756531,0.675999,1.43253,0,41.42017962
"Taenia tecta, ventral part",27,0,27,0.28986,0.296948,0.586808,93.14841648,0
Periaqueductal gray,2,21,23,2.478744,2.424117,4.902861,0.806860249,8.662948199
"Medullary reticular nucleus, dorsal part",2,18,20,0.879548,0.942818,1.822366,2.273895228,19.09170169
Laterodorsal tegmental nucleus,9,10,19,0.114691,0.1117,0.226391,78.47171966,89.52551477
"Periventricular hypothalamic nucleus, intermediate part",12,5,17,0.2574,0.332975,0.590375,46.62004662,15.01614235
lateral recess,2,15,17,0.165814,0.167214,0.333028,12.0617077,89.70540744
Pedunculopontine nucleus,1,16,17,0.623487,0.666533,1.29002,1.603882679,24.00481296
"Gustatory areas, layer 4",0,15,15,0.100293,0.099411,0.199704,0,150.8887346
Medulla,3,10,13,2.120184,1.807018,3.927202,1.414971531,5.533979186
Striatum,12,0,12,1.078772,1.201603,2.280375,11.12375924,0
Zona incerta,2,10,12,0.79247,0.833671,1.626141,2.523754842,11.99513957
Nucleus of Roller,2,9,11,0.023017,0.021579,0.044596,86.892297,417.0721535
Barrington's nucleus,1,10,11,0.009093,0.008179,0.017272,109.9747058,1222.643355
Nucleus raphe obscurus,8,3,11,0.018775,0.018863,0.037638,426.0985353,159.0415098
rubrospinal tract,10,1,11,0.257788,0.26283,0.520618,38.79156516,3.804740707
Nucleus of reuniens,0,10,10,0.336501,0.322968,0.659469,0,30.96281985
"Supplemental somatosensory area, layer 4",1,8,9,0.536048,0.649182,1.18523,1.865504582,12.32320058
Subceruleus nucleus,3,6,9,0.017647,0.015741,0.033388,170.0005667,381.1701925
Dorsomedial nucleus of the hypothalamus,0,9,9,0.316877,0.27003,0.586907,0,33.32963004
Posterior hypothalamic nucleus,4,4,8,0.451581,0.434345,0.885926,8.857768595,9.209269129
"Agranular insular area, dorsal part, layer 1",8,0,8,0.375907,0.322131,0.698038,21.28185961,0
Medial vestibular nucleus,2,5,7,1.134221,1.066212,2.200433,1.763324784,4.689498899
Hypoglossal nucleus,1,6,7,0.231041,0.219167,0.450208,4.328236114,27.37638422
Diagonal band nucleus,6,1,7,0.312292,0.317688,0.62998,19.21278803,3.147742439
"Agranular insular area, dorsal part, layer 2/3",5,1,6,0.690699,0.708757,1.399456,7.239043346,1.410920809
Dorsal cochlear nucleus,0,5,5,0.185751,0.212405,0.398156,0,23.5399355
"Primary motor area, Layer 5",0,5,5,1.374881,1.277048,2.651929,0,3.915279614
"Supplemental somatosensory area, layer 2/3",0,5,5,1.141938,1.421933,2.563871,0,3.516340081
Anteroventral periventricular nucleus,1,4,5,0.072834,0.0718,0.144634,13.72985144,55.71030641
"Agranular insular area, dorsal part, layer 5",4,1,5,0.710562,0.655057,1.365619,5.629346911,1.526584709
"Visceral area, layer 4",5,0,5,0.108085,0.120432,0.228517,46.25988805,0
medial lemniscus,4,1,5,0.353083,0.315693,0.668776,11.32878105,3.167634379
"Entorhinal area, lateral part, layer 2",3,2,5,1.330354,1.013942,2.344296,2.255038884,1.972499413
"Superior olivary complex, lateral part",1,3,4,0.171952,0.179312,0.351264,5.81557644,16.73061479
Caudoputamen,0,4,4,10.327269,10.280125,20.607394,0,0.389100327
Subparafascicular area,0,4,4,0.074264,0.076982,0.151246,0,51.96019849
"Subparafascicular nucleus, magnocellular part",0,4,4,0.042033,0.043331,0.085364,0,92.31266299
Ectorhinal area/Layer 2/3,2,2,4,0.275963,0.273668,0.549631,7.247348376,7.308125174
Ventral cochlear nucleus,1,3,4,0.363483,0.354291,0.717774,2.751160302,8.467615604
"Ventral auditory area, layer 4",2,1,3,0.103325,0.105352,0.208677,19.35639971,9.491988761
"Supplemental somatosensory area, layer 5",0,3,3,0.829374,0.94589,1.775264,0,3.17161615
"Primary somatosensory area, mouth, layer 4",0,3,3,0.395707,0.424836,0.820543,0,7.061548456
Linear nucleus of the medulla,0,3,3,0.052556,0.055227,0.107783,0,54.32125591
Subiculum,3,0,3,0.856231,0.905471,1.761702,3.503727382,0
"Ventral auditory area, layer 5",3,0,3,0.246725,0.244029,0.490754,12.15928666,0
"Entorhinal area, medial part, dorsal zone, layer 3",0,2,2,0.434343,0.400864,0.835207,0,4.989223278
superior cerebelar peduncles,0,2,2,0.262951,0.257098,0.520049,0,7.779134805
Spinal vestibular nucleus,0,2,2,0.438825,0.427715,0.86654,0,4.676010895
"Agranular insular area, ventral part, layer 2/3",0,2,2,0.382679,0.375845,0.758524,0,5.321342575
"Periventricular hypothalamic nucleus, preoptic part",0,2,2,0.066317,0.065212,0.131529,0,30.66920199
Ventromedial hypothalamic nucleus,0,2,2,0.432126,0.397527,0.829653,0,5.031104805
"Perirhinal area, layer 1",0,2,2,0.138954,0.152048,0.291002,0,13.15374092
Retroparafascicular nucleus,0,2,2,0.034528,0.034801,0.069329,0,57.46961294
"Temporal association areas, layer 5",2,0,2,0.428762,0.389335,0.818097,4.664592478,0
