structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,1267.0,120.0,1387.0,1.779416,2.188799,3.9682150000000003,712.0313630989043,54.824586451291324
Red nucleus,8.0,928.0,936.0,0.47242,0.529423,1.001843,16.934084077727444,1752.8516894808122
Intermediate reticular nucleus,785.0,10.0,795.0,3.4205550000000002,3.537861,6.958416000000001,229.49492114583742,2.8265666740440056
Pontine reticular nucleus,70.0,269.0,339.0,1.9148169999999998,1.9699630000000001,3.88478,36.55701824247435,136.55078800972404
Nucleus raphe magnus,110.0,108.0,218.0,0.08867699999999999,0.09071,0.179387,1240.456939228887,1190.6074302722964
"Paragigantocellular reticular nucleus, lateral part",202.0,5.0,207.0,0.593236,0.712982,1.306218,340.5052963744614,7.012799762125832
Pons,121.0,47.0,168.0,1.7962129999999998,1.7092029999999998,3.5054160000000003,67.36394848495141,27.498196527855384
Paraventricular hypothalamic nucleus,132.0,0.0,132.0,0.279794,0.256961,0.536755,471.7756635238783,0.0
Magnocellular reticular nucleus,92.0,29.0,121.0,0.396452,0.5883510000000001,0.984803,232.05835763219758,49.29030459708575
"Pontine reticular nucleus, caudal part",40.0,50.0,90.0,2.312077,2.543264,4.855340999999999,17.300461879081016,19.659775784189137
Midbrain reticular nucleus,29.0,56.0,85.0,3.4993489999999996,3.7049760000000003,7.204325,8.287255715277329,15.11480776123786
Linear nucleus of the medulla,76.0,0.0,76.0,0.078899,0.07851999999999999,0.15741899999999998,963.2568220129533,0.0
crossed tectospinal pathway,52.0,5.0,57.0,0.266259,0.293697,0.5599559999999999,195.2985626776935,17.02434822282829
"Medullary reticular nucleus, ventral part",50.0,0.0,50.0,0.67508,0.8094629999999999,1.484543,74.06529596492267,0.0
middle cerebellar peduncle,47.0,0.0,47.0,0.42016800000000004,0.307591,0.727759,111.86001789760286,0.0
"Lateral reticular nucleus, magnocellular part",44.0,3.0,47.0,0.385173,0.641258,1.0264309999999999,114.23438299153887,4.678304208290579
Medulla,18.0,29.0,47.0,2.726222,2.756846,5.4830679999999985,6.602543740018238,10.519267307640689
Pontine central gray,44.0,2.0,46.0,0.272195,0.280821,0.553016,161.64881794301877,7.121974496209329
Pedunculopontine nucleus,15.0,26.0,41.0,0.688182,0.769602,1.457784,21.79655963102784,33.78369598831604
"Entorhinal area, lateral part, layer 1",12.0,28.0,40.0,0.9601540000000001,0.927107,1.887261,12.49799511328391,30.201476205011936
Median eminence,21.0,14.0,35.0,0.053614,0.045576,0.09919,391.6887380161898,307.1792171318238
medial lemniscus,26.0,7.0,33.0,0.36111,0.363797,0.724907,72.0002215391432,19.24150006734525
Facial motor nucleus,23.0,9.0,32.0,0.587642,0.491389,1.0790309999999999,39.13947607556982,18.315428306290944
Sublaterodorsal nucleus,29.0,2.0,31.0,0.021669,0.023417,0.045086,1338.3174119710184,85.40803689627194
trapezoid body,26.0,5.0,31.0,0.146783,0.142278,0.289061,177.1322292091046,35.14246756350244
Hypothalamus,28.0,2.0,30.0,1.5575510000000001,1.492955,3.050506,17.976939438901198,1.33962510591411
third ventricle,20.0,10.0,30.0,0.737173,0.7533770000000001,1.4905499999999998,27.130673532535784,13.273566886167217
Thalamus,29.0,0.0,29.0,0.566403,0.513828,1.080231,51.200293783754674,0.0
"Visceral area, layer 1",23.0,3.0,26.0,0.23870300000000003,0.269828,0.5085310000000001,96.3540466604944,11.118193812354537
spinal tract of the trigeminal nerve,18.0,6.0,24.0,0.633517,0.546179,1.179696,28.412812915833356,10.985409545222355
"lateral olfactory tract, body",20.0,0.0,20.0,0.551433,0.6426689999999999,1.194102,36.26913877116531,0.0
Piriform area,6.0,14.0,20.0,5.953537,7.3528829999999985,13.306420000000001,1.0078042682862305,1.9040150645671912
Postpiriform transition area,10.0,9.0,19.0,0.591201,1.012771,1.6039719999999995,16.91472105087779,8.886510375988253
"Periventricular hypothalamic nucleus, intermediate part",18.0,1.0,19.0,0.299742,0.261626,0.561368,60.051644414196204,3.8222500821783765
Barrington's nucleus,19.0,0.0,19.0,0.006095000000000001,0.006838,0.012933000000000002,3117.309269893355,0.0
Nucleus of the trapezoid body,5.0,11.0,16.0,0.08424,0.083648,0.16788799999999998,59.35422602089269,131.5034429992349
Midbrain,12.0,3.0,15.0,3.737879,3.496078,7.233957000000001,3.210376793898358,0.8581044244436195
Periaqueductal gray,14.0,0.0,14.0,2.1185560000000003,2.406197,4.524753,6.608274692762428,0.0
"Supplemental somatosensory area, layer 1",10.0,4.0,14.0,0.7155349999999999,0.866074,1.5816089999999998,13.97555675124208,4.618542988243499
Subceruleus nucleus,12.0,1.0,13.0,0.013125,0.01446,0.027585000000000002,914.2857142857143,69.15629322268326
Anteroventral periventricular nucleus,11.0,2.0,13.0,0.081591,0.08521000000000001,0.16680099999999998,134.81879128825483,23.47142354183781
optic tract,10.0,3.0,13.0,0.386597,0.29426,0.6808569999999999,25.866729436596763,10.195065588255284
Tuberal nucleus,7.0,6.0,13.0,0.28122,0.30097,0.58219,24.891543986914158,19.93554174834701
"Temporal association areas, layer 1",0.0,12.0,12.0,0.307157,0.432208,0.7393649999999999,0.0,27.76440972864917
"Gustatory areas, layer 4",12.0,0.0,12.0,0.13125399999999998,0.089909,0.221163,91.42578511892972,0.0
"Agranular insular area, dorsal part, layer 2/3",11.0,0.0,11.0,1.024429,0.717097,1.741526,10.73768899552824,0.0
root,11.0,0.0,11.0,1.9986380000000001,1.76256,3.7611980000000003,5.5037480524237,0.0
Olfactory tubercle,4.0,6.0,10.0,1.210197,2.038659,3.248856,3.3052469969765252,2.943111133347951
Arcuate hypothalamic nucleus,5.0,5.0,10.0,0.20132,0.167537,0.368857,24.83608185972581,29.844153828706496
Lateral hypothalamic area,10.0,0.0,10.0,1.16054,1.02479,2.18533,8.616678442793873,0.0
"Paraventricular hypothalamic nucleus, descending division",10.0,0.0,10.0,0.127025,0.1035,0.230525,78.72466049990159,0.0
"Temporal association areas, layer 4",3.0,6.0,9.0,0.125913,0.19373800000000002,0.319651,23.82597507803007,30.969660056364777
"Temporal association areas, layer 2/3",2.0,7.0,9.0,0.352037,0.620371,0.972408,5.681221008019044,11.283570637570099
"Entorhinal area, medial part, dorsal zone, layer 1",2.0,6.0,8.0,0.5168020000000001,0.490294,1.007096,3.8699540636452636,12.237555425928116
"Superior olivary complex, periolivary region",6.0,2.0,8.0,0.244137,0.233977,0.47811400000000004,24.576364909866182,8.54784872017335
Anterior olfactory nucleus,8.0,0.0,8.0,1.863011,2.171349,4.03436,4.294123867223543,0.0
"Primary auditory area, layer 1",0.0,7.0,7.0,0.195179,0.255151,0.45033,0.0,27.43473472571144
"Superior olivary complex, lateral part",7.0,0.0,7.0,0.183837,0.194544,0.378381,38.077209702073034,0.0
Dorsomedial nucleus of the hypothalamus,7.0,0.0,7.0,0.259804,0.242156,0.5019600000000001,26.94338809256209,0.0
"Spinal nucleus of the trigeminal, interpolar part",7.0,0.0,7.0,1.067489,0.949153,2.016642,6.55744462003824,0.0
Nucleus raphe obscurus,1.0,6.0,7.0,0.015459,0.015513,0.030972000000000003,64.68723720809884,386.7723844517501
"Infralimbic area, layer 5",6.0,0.0,6.0,0.08867799999999999,0.143112,0.23179,67.6605245946007,0.0
optic chiasm,6.0,0.0,6.0,0.17265,0.14798699999999998,0.32063699999999995,34.75238922675934,0.0
Laterodorsal tegmental nucleus,5.0,0.0,5.0,0.08822200000000001,0.102546,0.190768,56.6752057309968,0.0
"Ventral auditory area, layer 1",0.0,5.0,5.0,0.165072,0.234598,0.39967,0.0,21.313054672247844
Nucleus of reuniens,5.0,0.0,5.0,0.447311,0.36534,0.812651,11.177905305257415,0.0
Field CA3,5.0,0.0,5.0,2.973604,2.612111,5.585715,1.6814612840176433,0.0
"Entorhinal area, lateral part, layer 2",0.0,5.0,5.0,1.038442,1.2318049999999998,2.270247,0.0,4.059084027098446
lateral ventricle,2.0,2.0,4.0,0.89581,1.204789,2.1005990000000003,2.2326162914010785,1.6600417168483443
Ectorhinal area/Layer 2/3,0.0,4.0,4.0,0.24267600000000003,0.431159,0.6738350000000001,0.0,9.2773199678077
ventral spinocerebellar tract,0.0,4.0,4.0,0.127987,0.125519,0.253506,0.0,31.86768537034234
"Supplemental somatosensory area, layer 2/3",0.0,4.0,4.0,1.433154,1.4560870000000001,2.889241,0.0,2.747088601161881
"Ventral auditory area, layer 2/3",0.0,4.0,4.0,0.202189,0.33103,0.533219,0.0,12.083496964021387
"Infralimbic area, layer 6a",4.0,0.0,4.0,0.052660000000000005,0.098313,0.150973,75.95898214963918,0.0
Ventromedial hypothalamic nucleus,4.0,0.0,4.0,0.337081,0.324308,0.661389,11.866583996131492,0.0
"Visceral area, layer 4",4.0,0.0,4.0,0.10828800000000001,0.094523,0.202811,36.93853427895981,0.0
"Primary somatosensory area, mouth, layer 2/3",1.0,3.0,4.0,1.019702,0.8249,1.844602,0.980678668866002,3.636804461146806
"Central amygdalar nucleus, capsular part",0.0,3.0,3.0,0.08982000000000001,0.140424,0.230244,0.0,21.36386942403008
Nucleus of Roller,3.0,0.0,3.0,0.021796,0.025186,0.046982,137.63993393283172,0.0
"Cortical amygdalar area, anterior part",3.0,0.0,3.0,0.28183600000000003,0.394554,0.6763899999999999,10.644488283966561,0.0
alveus,3.0,0.0,3.0,0.811916,0.6633129999999999,1.4752290000000001,3.6949635183935285,0.0
Diagonal band nucleus,3.0,0.0,3.0,0.20868,0.319513,0.528193,14.37607820586544,0.0
Pontine gray,3.0,0.0,3.0,0.45463400000000004,0.41219700000000004,0.8668309999999999,6.598714570401685,0.0
Piriform-amygdalar area,3.0,0.0,3.0,0.469342,0.5299889999999999,0.999331,6.391927421794768,0.0
Main olfactory bulb,0.0,2.0,2.0,3.412397,5.265543,8.67794,0.0,0.37982787340261015
Ectorhinal area/Layer 5,0.0,2.0,2.0,0.20717,0.22740500000000002,0.434575,0.0,8.794881379037399
"Primary somatosensory area, mouth, layer 1",0.0,2.0,2.0,0.503167,0.428888,0.932055,0.0,4.6632220999421765
dorsal spinocerebellar tract,0.0,2.0,2.0,0.07228899999999999,0.065996,0.138285,0.0,30.30486696163404
Striatum,1.0,1.0,2.0,0.827966,1.295834,2.1238,1.207779063391492,0.7717037830462853
"Dorsal auditory area, layer 5",0.0,2.0,2.0,0.14874500000000002,0.12685,0.275595,0.0,15.766653527788728
"Agranular insular area, posterior part, layer 1",2.0,0.0,2.0,0.299725,0.321873,0.6215979999999999,6.672783384769372,0.0
Paraventricular nucleus of the thalamus,2.0,0.0,2.0,0.325221,0.31989,0.645111,6.149664382066349,0.0
"Superior olivary complex, medial part",2.0,0.0,2.0,0.158246,0.17254999999999998,0.330796,12.638550105531893,0.0
"Visceral area, layer 2/3",2.0,0.0,2.0,0.460249,0.534274,0.9945229999999999,4.345473863061082,0.0
Parasubiculum,2.0,0.0,2.0,0.44219,0.405294,0.8474839999999999,4.522942626472783,0.0
Medial amygdalar nucleus,2.0,0.0,2.0,0.8923469999999999,0.837248,1.729595,2.241280578071087,0.0
superior cerebelar peduncles,1.0,1.0,2.0,0.227291,0.266256,0.493547,4.3996462684400175,3.7557839072171144
"Periventricular hypothalamic nucleus, posterior part",2.0,0.0,2.0,0.060771000000000006,0.051748,0.11251900000000001,32.910434253179965,0.0
Crus 1,1.0,1.0,2.0,2.321119,2.601539,4.922658,0.4308266831644565,0.38438785657259034
Median preoptic nucleus,2.0,0.0,2.0,0.026969,0.030322,0.057291,74.15921984500723,0.0
inferior cerebellar peduncle,1.0,1.0,2.0,0.24466100000000002,0.229579,0.47423999999999994,4.08728812520181,4.355799093122629
Posterior hypothalamic nucleus,2.0,0.0,2.0,0.41788800000000004,0.360731,0.778619,4.785971360747377,0.0
Locus ceruleus,0.0,1.0,1.0,0.005660999999999999,0.006251,0.011912,0.0,159.97440409534477
sensory root of the trigeminal nerve,0.0,1.0,1.0,0.156783,0.155408,0.312191,0.0,6.434675177597035
"Primary somatosensory area, mouth, layer 5",0.0,1.0,1.0,0.572863,0.452413,1.025276,0.0,2.2103697285444937
Olfactory areas,0.0,1.0,1.0,1.509292,1.730548,3.23984,0.0,0.5778516400585249
"Central amygdalar nucleus, medial part",0.0,1.0,1.0,0.258238,0.330464,0.5887020000000001,0.0,3.0260482231044836
"Temporal association areas, layer 5",0.0,1.0,1.0,0.347656,0.420897,0.7685529999999999,0.0,2.375878183973751
pyramid,0.0,1.0,1.0,0.141951,0.14538199999999998,0.28733299999999995,0.0,6.878430617270364
